LineId,Date,Time,Pid,Tid,Level,Component,Content,EventId,EventTemplate,ParameterList
1,12-17,19:31:36.263,1795,1825,I,PowerManager_screenOn,DisplayPowerStatesetColorFadeLevel: level=1.0,b72a0c97,DisplayPowerStatesetColorFadeLevel: level=<*>.<*>,['1.0']
2,12-17,19:31:36.263,5224,5283,I,SendBroadcastPermission,"action:android.com.huawei.bone.NOTIFY_SPORT_DATA, mPermissionType:0",e55c594d,"action:<*>, mPermissionType:<*>","['android.com.huawei.bone.NOTIFY_SPORT_DATA', '0']"
3,12-17,19:31:36.264,1795,1825,D,DisplayPowerController,"Animating brightness: target=21, rate=40",1b7a0525,"Animating brightness: target=<*>, rate=<*>","['21', '40']"
4,12-17,19:31:36.264,1795,1825,I,PowerManager_screenOn,"DisplayPowerController updatePowerState mPendingRequestLocked=policy=BRIGHT, useProximitySensor=true, useProximitySensorbyPhone=true, screenBrightness=33, screenAutoBrightnessAdjustment=0.0, brightnessSetByUser=true, useAutoBrightness=true, blockScreenOn=false, lowPowerMode=false, boostScreenBrightness=false, dozeScreenBrightness=-1, dozeScreenState=UNKNOWN, useTwilight=false, useSmartBacklight=true, brightnessWaitMode=false, brightnessWaitRet=true, screenAutoBrightness=-1, userId=0",0df25095,"DisplayPowerController updatePowerState mPendingRequestLocked=policy=BRIGHT, useProximitySensor=true, useProximitySensorbyPhone=true, screenBrightness=<*>, screenAutoBrightnessAdjustment=<*>.<*>, brightnessSetByUser=true, useAutoBrightness=true, blockScreenOn=false, lowPowerMode=false, boostScreenBrightness=false, dozeScreenBrightness=-<*>, dozeScreenState=UNKNOWN, useTwilight=false, useSmartBacklight=true, brightnessWaitMode=false, brightnessWaitRet=true, screenAutoBrightness=-<*>, userId=<*>","['33', '0.0', '1', '1', '0']"
5,12-17,19:31:36.264,1795,2750,I,PowerManager_screenOn,"DisplayPowerState Updating screen state: state=ON, backlight=823",3e42a09f,DisplayPowerState Updating screen state: <*> backlight=<*>,"['state=ON,', '823']"
6,12-17,19:31:36.264,1795,2750,I,HwLightsService,back light level before map = 823,3f269dfa,back light level before map = <*>,['823']
7,12-17,19:31:36.264,1795,1825,D,DisplayPowerController,"Animating brightness: target=21, rate=40",1b7a0525,"Animating brightness: target=<*>, rate=<*>","['21', '40']"
8,12-17,19:31:36.264,1795,1825,V,KeyguardServiceDelegate,onScreenTurnedOn(),a0c3dfa8,onScreenTurnedOn(),[]
9,12-17,19:31:36.264,1795,1825,I,WindowManger_keyguard,onScreenTurnedOn(),a0c3dfa8,onScreenTurnedOn(),[]
10,12-17,19:31:36.264,1795,1825,D,DisplayPowerController,Display ready!,a13696e2,Display ready!,[]
11,12-17,19:31:36.264,1795,1825,D,DisplayPowerController,Finished business...,cd1c1993,Finished business...,[]
12,12-17,19:31:36.264,2852,3328,D,KeyguardService,Caller checkPermission fail,8bd6e539,Caller checkPermission fail,[]
13,12-17,19:31:36.264,2852,3328,D,KeyguardService,KGSvcCall onScreenTurnedOn.,35cd872e,KGSvcCall onScreenTurnedOn.,[]
