EventId,EventTemplate,Occurrences
b72a0c97,DisplayPowerStatesetColorFadeLevel: level=<*>.<*>,4
e55c594d,"action:<*>, mPermissionType:<*>",14
1b7a0525,"Animating brightness: target=<*>, rate=<*>",15
0df25095,"DisplayPowerController updatePowerState mPendingRequestLocked=policy=BRIGHT, useProximitySensor=true, useProximitySensorbyPhone=true, screenBrightness=<*>, screenAutoBrightnessAdjustment=<*>.<*>, brightnessSetByUser=true, useAutoBrightness=true, blockScreenOn=false, lowPowerMode=false, boostScreenBrightness=false, dozeScreenBrightness=-<*>, dozeScreenState=UNKNOWN, useTwilight=false, useSmartBacklight=true, brightnessWaitMode=false, brightnessWaitRet=true, screenAutoBrightness=-<*>, userId=<*>",8
3e42a09f,DisplayPowerState Updating screen state: <*> backlight=<*>,7
3f269dfa,back light level before map = <*>,4
a0c3dfa8,onScreenTurnedOn(),4
a13696e2,Display ready!,4
cd1c1993,Finished business...,4
8bd6e539,Caller checkPermission fail,7
35cd872e,KGSvcCall onScreenTurnedOn.,2
9d671f2e,notifyScreenTurnedOn,2
4365b7b7,handleNotifyScreenTurnedOn,2
468e6ee8,onScreenTurnedOn,2
9cc510ac,getNextIndex: <*>; from <*> to <*>; size: <*>,2
2f4476c6,report msg is :{picture: <*>},2
21be4fb5,"report result = falsereport type:<*> msg:{picture: <*>, channelId: <*>}",2
6a13b071,Screen already turned on at: <*>,2
b1ffc7b2,Split enqueueing broadcast [callerApp]:ProcessRecord{<*> <*>,12
c5afc1ed,EventCenter Get :<*>,3
a797a27a,Get no-perm notification callback <*>,4
61e46442,ScreenState present,2
f4aaa700,<*>|upDateHealthNotification()|<*>|<*>.<*>|<*>,3
434f4f20,ITrafficInfo:ITrafficInfo create 301updateBytes = <*>,4
29cf7af1,<*>|rebuild notification,3
afa3e515,ContentChange for slot: <*>,8
cff1c62f,onChange selfChange:false uri.toString():content:/<*> mIsObserveAutoBrightnessChange:true,4
661fcf50,"case xxx, not a fingerprint unlock",2
2bd0bdb0,"ready=true,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=true,manual=<*>,auto=-<*>,adj=<*>.0userId=<*>",22
b8ad1fcd,"PowerManagerNotifier onWakefulnessChangeFinished mInteractiveChanging=true, <*>",4
3130d210,"APS brightness=<*>.<*>,ConvertToPercentage=<*>.<*>",2
b38592a8,getSeekBarProgress isAutoMode:true current brightness:<*> <*>,4
f54b641a,updateSlider1 seekBarProgress:<*>,4
d781f074,updateSlider2 seekBarProgress:<*>,4
